address_id,address,address2,district,city_id,postal_code,phone,last_update
57,17 Kabul Boulevard,"",Chiba,355,38594,697760867968,2022-02-15 09:45:30+00
58,1964 Allappuzha (Alleppey) Street,"",Yamaguchi,227,48980,920811325222,2022-02-15 09:45:30+00
59,1697 Kowloon and New Kowloon Loop,"",Moskova,49,57807,499352017190,2022-02-15 09:45:30+00
60,1668 Saint Louis Place,"",Tahiti,397,39072,347487831378,2022-02-15 09:45:30+00
61,943 Tokat Street,"",Vaduz,560,45428,889318963672,2022-02-15 09:45:30+00
62,1114 Liepaja Street,"",Sarawak,282,69226,212869228936,2022-02-15 09:45:30+00
63,1213 Ranchi Parkway,"",Karnataka,350,94352,800024380485,2022-02-15 09:45:30+00
64,81 Hodeida Way,"",Rajasthan,231,55561,250767749542,2022-02-15 09:45:30+00
65,915 Ponce Place,"",Basel-Stadt,56,83980,1395251317,2022-02-15 09:45:30+00
66,1717 Guadalajara Lane,"",Missouri,441,85505,914090181665,2022-02-15 09:45:30+00
67,1214 Hanoi Way,"",Nebraska,306,67055,491001136577,2022-02-15 09:45:30+00
68,1966 Amroha Avenue,"",Sichuan,139,70385,333489324603,2022-02-15 09:45:30+00
69,698 Otsu Street,"",Cayenne,105,71110,409983924481,2022-02-15 09:45:30+00
70,1150 Kimchon Manor,"",Skne ln,321,96109,663449333709,2022-02-15 09:45:30+00
71,1586 Guaruj Place,"",Hunan,579,5135,947233365992,2022-02-15 09:45:30+00
72,57 Arlington Manor,"",Madhya Pradesh,475,48960,990214419142,2022-02-15 09:45:30+00
73,1031 Daugavpils Parkway,"",Bchar,63,59025,107137400143,2022-02-15 09:45:30+00
74,1124 Buenaventura Drive,"",Mekka,13,6856,407733804223,2022-02-15 09:45:30+00
75,492 Cam Ranh Street,"",Eastern Visayas,61,50805,565018274456,2022-02-15 09:45:30+00
76,89 Allappuzha (Alleppey) Manor,"",National Capital Reg,517,75444,255800440636,2022-02-15 09:45:30+00
77,1947 Poos de Caldas Boulevard,"",Chiayi,114,60951,427454485876,2022-02-15 09:45:30+00
78,1206 Dos Quebradas Place,"",So Paulo,431,20207,241832790687,2022-02-15 09:45:30+00
79,1551 Rampur Lane,"",Changhwa,108,72394,251164340471,2022-02-15 09:45:30+00
80,602 Paarl Street,"",Pavlodar,402,98889,896314772871,2022-02-15 09:45:30+00
81,1692 Ede Loop,"",So Paulo,30,9223,918711376618,2022-02-15 09:45:30+00
82,936 Salzburg Lane,"",Uttar Pradesh,425,96709,875756771675,2022-02-15 09:45:30+00
83,586 Tete Way,"",Kanagawa,256,1079,18581624103,2022-02-15 09:45:30+00
84,1888 Kabul Drive,"",Oyo & Osun,217,20936,701457319790,2022-02-15 09:45:30+00
85,320 Baiyin Parkway,"",Mahajanga,319,37307,223664661973,2022-02-15 09:45:30+00
86,927 Baha Blanca Parkway,"",Krim,479,9495,821972242086,2022-02-15 09:45:30+00
87,929 Tallahassee Loop,"",Gauteng,497,74671,800716535041,2022-02-15 09:45:30+00
88,125 Citt del Vaticano Boulevard,"",Puebla,40,67912,48417642933,2022-02-15 09:45:30+00
89,1557 Ktahya Boulevard,"",England,88,88002,720998247660,2022-02-15 09:45:30+00
90,870 Ashqelon Loop,"",Songkhla,489,84931,135117278909,2022-02-15 09:45:30+00
91,1740 Portoviejo Avenue,"",Sucre,480,29932,198123170793,2022-02-15 09:45:30+00
92,1942 Ciparay Parkway,"",Cheju,113,82624,978987363654,2022-02-15 09:45:30+00
93,1926 El Alto Avenue,"",Buenos Aires,289,75543,846225459260,2022-02-15 09:45:30+00
94,1952 Chatsworth Drive,"",Guangdong,332,25958,991562402283,2022-02-15 09:45:30+00
95,1370 Le Mans Avenue,"",Brunei and Muara,53,52163,345679835036,2022-02-15 09:45:30+00
96,984 Effon-Alaiye Avenue,"",Gois,183,17119,132986892228,2022-02-15 09:45:30+00
97,832 Nakhon Sawan Manor,"",Inner Mongolia,592,49021,275595571388,2022-02-15 09:45:30+00
98,152 Kitwe Parkway,"",Caraga,82,53182,835433605312,2022-02-15 09:45:30+00
99,1697 Tanauan Lane,"",Punjab,399,22870,4764773857,2022-02-15 09:45:30+00
100,1308 Arecibo Way,"",Georgia,41,30695,6171054059,2022-02-15 09:45:30+00
