customer_id,store_id,first_name,last_name,email,address_id,activebool,create_date,last_update,active
41,1,STEPHANIE,MITCHELL,STEPHANIE.MITCHELL@sakilacustomer.org,45,t,2022-02-14,2022-02-15 09:57:20+00,1
42,2,CAROLYN,PEREZ,CAROLYN.PEREZ@sakilacustomer.org,46,t,2022-02-14,2022-02-15 09:57:20+00,1
43,2,CHRISTINE,ROBERTS,CHRISTINE.ROBERTS@sakilacustomer.org,47,t,2022-02-14,2022-02-15 09:57:20+00,1
44,1,MARIE,TURNER,MARIE.TURNER@sakilacustomer.org,48,t,2022-02-14,2022-02-15 09:57:20+00,1
45,1,JANET,PHILLIPS,JANET.PHILLIPS@sakilacustomer.org,49,t,2022-02-14,2022-02-15 09:57:20+00,1
46,2,CATHERINE,CAMPBELL,CATHERINE.CAMPBELL@sakilacustomer.org,50,t,2022-02-14,2022-02-15 09:57:20+00,1
47,1,FRANCES,PARKER,FRANCES.PARKER@sakilacustomer.org,51,t,2022-02-14,2022-02-15 09:57:20+00,1
48,1,ANN,EVANS,ANN.EVANS@sakilacustomer.org,52,t,2022-02-14,2022-02-15 09:57:20+00,1
49,2,JOYCE,EDWARDS,JOYCE.EDWARDS@sakilacustomer.org,53,t,2022-02-14,2022-02-15 09:57:20+00,1
50,1,DIANE,COLLINS,DIANE.COLLINS@sakilacustomer.org,54,t,2022-02-14,2022-02-15 09:57:20+00,1
51,1,ALICE,STEWART,ALICE.STEWART@sakilacustomer.org,55,t,2022-02-14,2022-02-15 09:57:20+00,1
52,1,JULIE,SANCHEZ,JULIE.SANCHEZ@sakilacustomer.org,56,t,2022-02-14,2022-02-15 09:57:20+00,1
53,1,HEATHER,MORRIS,HEATHER.MORRIS@sakilacustomer.org,57,t,2022-02-14,2022-02-15 09:57:20+00,1
54,1,TERESA,ROGERS,TERESA.ROGERS@sakilacustomer.org,58,t,2022-02-14,2022-02-15 09:57:20+00,1
55,2,DORIS,REED,DORIS.REED@sakilacustomer.org,59,t,2022-02-14,2022-02-15 09:57:20+00,1
56,1,GLORIA,COOK,GLORIA.COOK@sakilacustomer.org,60,t,2022-02-14,2022-02-15 09:57:20+00,1
57,2,EVELYN,MORGAN,EVELYN.MORGAN@sakilacustomer.org,61,t,2022-02-14,2022-02-15 09:57:20+00,1
58,1,JEAN,BELL,JEAN.BELL@sakilacustomer.org,62,t,2022-02-14,2022-02-15 09:57:20+00,1
59,1,CHERYL,MURPHY,CHERYL.MURPHY@sakilacustomer.org,63,t,2022-02-14,2022-02-15 09:57:20+00,1
60,1,MILDRED,BAILEY,MILDRED.BAILEY@sakilacustomer.org,64,t,2022-02-14,2022-02-15 09:57:20+00,1
61,2,KATHERINE,RIVERA,KATHERINE.RIVERA@sakilacustomer.org,65,t,2022-02-14,2022-02-15 09:57:20+00,1
62,1,JOAN,COOPER,JOAN.COOPER@sakilacustomer.org,66,t,2022-02-14,2022-02-15 09:57:20+00,1
63,1,ASHLEY,RICHARDSON,ASHLEY.RICHARDSON@sakilacustomer.org,67,t,2022-02-14,2022-02-15 09:57:20+00,1
64,2,JUDITH,COX,JUDITH.COX@sakilacustomer.org,68,t,2022-02-14,2022-02-15 09:57:20+00,0
65,2,ROSE,HOWARD,ROSE.HOWARD@sakilacustomer.org,69,t,2022-02-14,2022-02-15 09:57:20+00,1
66,2,JANICE,WARD,JANICE.WARD@sakilacustomer.org,70,t,2022-02-14,2022-02-15 09:57:20+00,1
67,1,KELLY,TORRES,KELLY.TORRES@sakilacustomer.org,71,t,2022-02-14,2022-02-15 09:57:20+00,1
68,1,NICOLE,PETERSON,NICOLE.PETERSON@sakilacustomer.org,72,t,2022-02-14,2022-02-15 09:57:20+00,1
69,2,JUDY,GRAY,JUDY.GRAY@sakilacustomer.org,73,t,2022-02-14,2022-02-15 09:57:20+00,1
70,2,CHRISTINA,RAMIREZ,CHRISTINA.RAMIREZ@sakilacustomer.org,74,t,2022-02-14,2022-02-15 09:57:20+00,1
71,1,KATHY,JAMES,KATHY.JAMES@sakilacustomer.org,75,t,2022-02-14,2022-02-15 09:57:20+00,1
72,2,THERESA,WATSON,THERESA.WATSON@sakilacustomer.org,76,t,2022-02-14,2022-02-15 09:57:20+00,1
73,2,BEVERLY,BROOKS,BEVERLY.BROOKS@sakilacustomer.org,77,t,2022-02-14,2022-02-15 09:57:20+00,1
74,1,DENISE,KELLY,DENISE.KELLY@sakilacustomer.org,78,t,2022-02-14,2022-02-15 09:57:20+00,1
75,2,TAMMY,SANDERS,TAMMY.SANDERS@sakilacustomer.org,79,t,2022-02-14,2022-02-15 09:57:20+00,1
76,2,IRENE,PRICE,IRENE.PRICE@sakilacustomer.org,80,t,2022-02-14,2022-02-15 09:57:20+00,1
77,2,JANE,BENNETT,JANE.BENNETT@sakilacustomer.org,81,t,2022-02-14,2022-02-15 09:57:20+00,1
78,1,LORI,WOOD,LORI.WOOD@sakilacustomer.org,82,t,2022-02-14,2022-02-15 09:57:20+00,1
79,1,RACHEL,BARNES,RACHEL.BARNES@sakilacustomer.org,83,t,2022-02-14,2022-02-15 09:57:20+00,1
80,1,MARILYN,ROSS,MARILYN.ROSS@sakilacustomer.org,84,t,2022-02-14,2022-02-15 09:57:20+00,1
81,1,ANDREA,HENDERSON,ANDREA.HENDERSON@sakilacustomer.org,85,t,2022-02-14,2022-02-15 09:57:20+00,1
82,1,KATHRYN,COLEMAN,KATHRYN.COLEMAN@sakilacustomer.org,86,t,2022-02-14,2022-02-15 09:57:20+00,1
83,1,LOUISE,JENKINS,LOUISE.JENKINS@sakilacustomer.org,87,t,2022-02-14,2022-02-15 09:57:20+00,1
84,2,SARA,PERRY,SARA.PERRY@sakilacustomer.org,88,t,2022-02-14,2022-02-15 09:57:20+00,1
85,2,ANNE,POWELL,ANNE.POWELL@sakilacustomer.org,89,t,2022-02-14,2022-02-15 09:57:20+00,1
86,2,JACQUELINE,LONG,JACQUELINE.LONG@sakilacustomer.org,90,t,2022-02-14,2022-02-15 09:57:20+00,1
87,1,WANDA,PATTERSON,WANDA.PATTERSON@sakilacustomer.org,91,t,2022-02-14,2022-02-15 09:57:20+00,1
88,2,BONNIE,HUGHES,BONNIE.HUGHES@sakilacustomer.org,92,t,2022-02-14,2022-02-15 09:57:20+00,1
89,1,JULIA,FLORES,JULIA.FLORES@sakilacustomer.org,93,t,2022-02-14,2022-02-15 09:57:20+00,1
90,2,RUBY,WASHINGTON,RUBY.WASHINGTON@sakilacustomer.org,94,t,2022-02-14,2022-02-15 09:57:20+00,1
91,2,LOIS,BUTLER,LOIS.BUTLER@sakilacustomer.org,95,t,2022-02-14,2022-02-15 09:57:20+00,1
92,2,TINA,SIMMONS,TINA.SIMMONS@sakilacustomer.org,96,t,2022-02-14,2022-02-15 09:57:20+00,1
93,1,PHYLLIS,FOSTER,PHYLLIS.FOSTER@sakilacustomer.org,97,t,2022-02-14,2022-02-15 09:57:20+00,1
94,1,NORMA,GONZALES,NORMA.GONZALES@sakilacustomer.org,98,t,2022-02-14,2022-02-15 09:57:20+00,1
95,2,PAULA,BRYANT,PAULA.BRYANT@sakilacustomer.org,99,t,2022-02-14,2022-02-15 09:57:20+00,1
96,1,DIANA,ALEXANDER,DIANA.ALEXANDER@sakilacustomer.org,100,t,2022-02-14,2022-02-15 09:57:20+00,1
97,2,ANNIE,RUSSELL,ANNIE.RUSSELL@sakilacustomer.org,101,t,2022-02-14,2022-02-15 09:57:20+00,1
98,1,LILLIAN,GRIFFIN,LILLIAN.GRIFFIN@sakilacustomer.org,102,t,2022-02-14,2022-02-15 09:57:20+00,1
99,2,EMILY,DIAZ,EMILY.DIAZ@sakilacustomer.org,103,t,2022-02-14,2022-02-15 09:57:20+00,1
100,1,ROBIN,HAYES,ROBIN.HAYES@sakilacustomer.org,104,t,2022-02-14,2022-02-15 09:57:20+00,1
